iter	Passed	Remaining
0	0	85
1	1	76
2	2	74
3	2	68
4	3	65
5	4	62
6	4	61
7	5	59
8	5	58
9	6	57
10	6	56
11	7	55
12	8	54
13	8	53
14	9	53
15	9	52
16	10	51
17	15	68
18	17	74
19	18	74
20	19	72
21	19	70
22	20	68
23	20	66
24	21	64
25	22	62
26	22	61
27	23	61
28	24	59
29	25	58
30	25	57
31	26	56
32	27	55
33	27	53
34	28	52
35	29	51
36	29	50
37	30	50
38	31	49
39	32	48
40	32	46
41	32	45
42	33	44
43	34	43
44	34	42
45	35	41
46	35	40
47	36	39
48	36	38
49	38	38
50	39	37
51	39	36
52	40	35
53	40	34
54	41	33
55	42	33
56	42	32
57	43	31
58	44	30
59	44	29
60	45	28
61	45	28
62	46	27
63	46	26
64	47	25
65	47	24
66	48	23
67	48	23
68	49	22
69	50	21
70	50	20
71	51	19
72	51	19
73	52	18
74	53	17
75	54	17
76	54	16
77	55	15
78	56	14
79	56	14
80	57	13
81	58	12
82	59	12
83	59	11
84	60	10
85	60	9
86	61	9
87	62	8
88	62	7
89	63	7
90	63	6
91	64	5
92	65	4
93	66	4
94	67	3
95	68	2
96	69	2
97	69	1
98	70	0
99	70	0
