iter	Passed	Remaining
0	139	139015
1	142	71247
2	150	49914
3	156	39059
4	161	32162
5	165	27495
6	168	23848
7	169	21078
8	171	18901
9	174	17297
10	176	15902
11	178	14705
12	179	13658
13	181	12756
14	182	11992
15	183	11315
16	185	10711
17	186	10153
18	187	9670
19	188	9244
20	189	8857
21	191	8493
22	191	8150
23	192	7836
24	193	7551
25	194	7285
26	195	7037
27	196	6805
28	196	6589
29	197	6385
30	198	6198
31	199	6021
32	199	5857
33	200	5705
34	201	5555
35	202	5414
36	202	5279
37	203	5152
38	204	5030
39	204	4915
40	205	4806
41	206	4703
42	206	4603
43	207	4509
44	208	4418
45	208	4331
46	209	4248
47	210	4169
48	210	4093
49	211	4020
50	212	3952
51	213	3889
52	214	3826
53	214	3765
54	215	3705
55	216	3646
56	216	3589
57	217	3534
58	218	3481
59	218	3430
60	219	3380
61	220	3332
62	220	3285
63	221	3240
64	222	3197
65	222	3155
66	223	3114
67	224	3074
68	224	3035
69	225	2997
70	226	2961
71	227	2925
72	227	2891
73	228	2857
74	229	2824
75	229	2792
76	230	2761
77	231	2730
78	231	2701
79	232	2671
80	233	2643
81	233	2616
82	234	2585
83	234	2559
84	235	2533
85	236	2508
86	236	2484
87	237	2460
88	238	2436
89	238	2413
90	239	2391
91	240	2371
92	241	2354
93	242	2335
94	243	2315
95	243	2295
96	244	2277
97	245	2258
98	246	2240
99	246	2222
100	247	2204
101	248	2187
102	249	2170
103	249	2153
104	250	2136
105	251	2119
106	251	2102
107	252	2086
108	253	2071
109	254	2055
110	254	2040
111	255	2025
112	256	2010
113	256	1995
114	257	1980
115	258	1966
116	258	1951
117	259	1937
118	260	1925
119	260	1911
120	261	1898
121	261	1884
122	262	1872
123	263	1859
124	264	1848
125	264	1836
126	265	1823
127	265	1811
128	266	1800
129	267	1790
130	268	1780
131	269	1769
132	269	1758
133	270	1748
134	271	1737
135	271	1726
136	272	1716
137	273	1706
138	273	1696
139	274	1686
140	275	1678
141	275	1667
142	276	1657
143	277	1648
144	277	1638
145	278	1630
